,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-01-02,26.378078,26.49077,26.133251,26.168653,26.168653,28951268
1,2015-01-05,26.091366,26.14472,25.582764,25.623152,25.623152,41196796
2,2015-01-06,25.679497,25.738087,24.983908,25.029282,25.029282,57998800
3,2015-01-07,25.280592,25.292759,24.914099,24.986401,24.986401,41301082
4,2015-01-08,24.831326,25.105074,24.482782,25.065184,25.065184,67071641
5,2015-01-09,25.1689,25.176876,24.671764,24.740576,24.740576,41427428
6,2015-01-12,24.679243,24.730902,24.311253,24.56007,24.56007,46535413
7,2015-01-13,24.873709,25.080141,24.552092,24.741074,24.741074,47409807
8,2015-01-14,24.664783,25.092607,24.582508,24.974932,24.974932,44714427
9,2015-01-15,25.209288,25.214773,24.819857,25.020805,25.020805,54316718
10,2015-01-16,24.932049,25.33993,24.931549,25.334444,25.334444,45965854
11,2015-01-20,25.480045,25.554838,25.231527,25.275606,25.275606,44640224
12,2015-01-21,25.293058,25.892912,25.240702,25.831081,25.831081,45374234
13,2015-01-22,26.002609,26.743076,25.913855,26.646341,26.646341,53538588
14,2015-01-23,26.706179,27.034277,26.577032,26.92358,26.92358,45634948
15,2015-01-26,26.852776,26.876211,26.41099,26.687229,26.687229,30874534
16,2015-01-27,26.425947,26.462349,25.83856,25.8605,25.8605,38080263
17,2015-01-28,26.067432,26.077904,25.430182,25.430182,25.430182,33676205
18,2015-01-29,25.480045,25.484531,24.991386,25.463091,25.463091,83727244
19,2015-01-30,25.72238,26.919592,25.705425,26.652824,26.652824,112127002
20,2015-02-02,26.513706,26.577032,25.85651,26.351652,26.351652,56996054
21,2015-02-03,26.327717,26.596977,26.091366,26.389547,26.389547,40773638
22,2015-02-04,26.389547,26.560678,25.99214,26.066435,26.066435,33273101
23,2015-02-05,26.117794,26.35265,26.033026,26.306774,26.306774,36995292
24,2015-02-06,26.309767,26.786457,26.248434,26.477306,26.477306,35270570
25,2015-02-09,26.327717,26.52717,26.228989,26.319241,26.319241,25355423
26,2015-02-10,26.392538,26.81139,26.273865,26.773493,26.773493,34997823
27,2015-02-11,26.691717,26.848787,26.595881,26.725126,26.725126,27555446
28,2015-02-12,26.788952,27.166414,26.660454,27.072172,27.072172,32404724
29,2015-02-13,27.093117,27.420218,27.082146,27.375341,27.375341,38006060
30,2015-02-17,27.26664,27.424706,26.980425,27.067686,27.067686,32336537
31,2015-02-18,26.995884,27.199823,26.801914,26.911116,26.911116,29061570
32,2015-02-19,26.828342,27.081148,26.826847,27.069181,27.069181,19782163
33,2015-02-20,27.082146,27.113062,26.716648,26.873718,26.873718,28887092
34,2015-02-23,26.729115,26.748512,26.398024,26.522682,26.522682,29157834
35,2015-02-24,26.427443,26.766014,26.340183,26.73111,26.73111,20101036
36,2015-02-25,26.721636,27.236223,26.698948,27.119045,27.119045,36519991
37,2015-02-26,27.086136,27.730865,27.00087,27.697954,27.697954,46230579
38,2015-02-27,27.636126,28.158192,27.569307,27.843555,27.843555,48203982
39,2015-03-02,27.949764,28.529173,27.861008,28.488785,28.488785,42592618
40,2015-03-03,28.444407,28.690729,28.248444,28.60347,28.60347,34095352
41,2015-03-04,28.515211,28.776493,28.322741,28.590006,28.590006,37536775
42,2015-03-05,28.672279,28.816385,28.592001,28.687738,28.687738,27792094
43,2015-03-06,28.665298,28.755053,28.26041,28.306534,28.306534,33182854
44,2015-03-09,28.265396,28.435431,28.099604,28.364626,28.364626,21242161
45,2015-03-10,28.135256,28.165173,27.660559,27.67452,27.67452,35846146
46,2015-03-11,27.681002,27.830591,27.458612,27.483543,27.483543,36415706
47,2015-03-12,27.599726,27.742332,27.447641,27.699451,27.699451,27792094
48,2015-03-13,27.599226,27.843555,27.136497,27.291073,27.291073,34071287
49,2015-03-16,27.472075,27.766268,27.225252,27.649588,27.649588,32819860
50,2015-03-17,27.509972,27.614185,27.32498,27.466591,27.466591,36110871
51,2015-03-18,27.549362,27.912367,27.275116,27.898405,27.898405,42690887
52,2015-03-19,27.89292,27.963226,27.731113,27.823112,27.823112,23945563
53,2015-03-20,28.005611,28.009102,27.875967,27.941286,27.941286,52337299
54,2015-03-23,27.944778,28.041014,27.715406,27.863998,27.863998,32876014
55,2015-03-24,28.050985,28.650839,27.983671,28.43144,28.43144,51665459
56,2015-03-25,28.446899,28.534658,27.86051,27.862753,27.862753,43045859
57,2015-03-26,27.803165,27.868486,27.457115,27.682499,27.682499,31452115
58,2015-03-27,27.574295,27.687983,27.331461,27.341932,27.341932,37949906
59,2015-03-30,27.505484,27.597731,27.333456,27.525928,27.525928,25750504
60,2015-03-31,27.424706,27.659561,27.261154,27.32498,27.32498,31760961
61,2015-04-01,27.354897,27.481548,26.901142,27.053724,27.053724,39261497
62,2015-04-02,26.968458,26.968458,26.619267,26.703186,26.703186,34327989
63,2015-04-06,26.538139,26.846792,26.406002,26.764767,26.764767,26488525
64,2015-04-07,26.830338,27.060205,26.726622,26.777481,26.777481,26057345
65,2015-04-08,26.845297,27.118048,26.845297,27.006353,27.006353,23570536
66,2015-04-09,26.977432,27.023308,26.701193,26.964968,26.964968,31157308
67,2015-04-10,27.04026,27.04026,26.791943,26.926573,26.926573,28189181
68,2015-04-13,26.846792,27.128519,26.791943,26.884687,26.884687,32906096
69,2015-04-14,26.739088,26.804907,26.332306,26.44689,26.44689,52082601
70,2015-04-15,26.362621,26.663296,26.089373,26.553596,26.553596,46376979
71,2015-04-16,26.422457,26.706179,26.407997,26.616922,26.616922,25997180
72,2015-04-17,26.360626,26.419464,25.979174,26.130758,26.130758,43037837
73,2015-04-20,26.208046,26.73111,26.153196,26.695707,26.695707,33585958
74,2015-04-21,26.801914,26.895658,26.610689,26.625401,26.625401,36895018
75,2015-04-22,26.646841,26.979927,26.514704,26.894411,26.894411,31871263
76,2015-04-23,26.975939,27.472574,26.937544,27.275116,27.275116,83697161
77,2015-04-24,28.227501,28.478811,27.786213,28.175644,28.175644,98650102
78,2015-04-27,28.1695,28.297501,27.66,27.768499,27.768499,47960000
79,2015-04-28,27.732,27.801001,27.518299,27.684,27.684,29820000
80,2015-04-29,27.5235,27.684,27.345249,27.454,27.454,33976000
81,2015-04-30,27.393499,27.429501,26.752501,26.867001,26.867001,41644000
82,2015-05-01,26.921499,26.976999,26.605,26.895,26.895,35364000
83,2015-05-04,26.9265,27.203501,26.753,27.039,27.039,26160000
84,2015-05-05,26.9105,26.987,26.51955,26.540001,26.540001,27662000
85,2015-05-06,26.562,26.618999,26.054251,26.211,26.211,31340000
86,2015-05-07,26.199499,26.673,26.0875,26.535,26.535,30926000
87,2015-05-08,26.8325,27.057501,26.25,26.910999,26.910999,30552000
88,2015-05-11,26.918501,27.099001,26.77,26.785,26.785,18106000
89,2015-05-12,26.58,26.66045,26.263,26.452,26.452,32684000
90,2015-05-13,26.528,26.716101,26.432751,26.481001,26.481001,25046000
91,2015-05-14,26.688499,26.950001,26.620501,26.92,26.92,28078000
92,2015-05-15,26.959,26.963699,26.518999,26.692499,26.692499,39426000
93,2015-05-18,26.6005,26.740999,26.442499,26.615,26.615,40068000
94,2015-05-19,26.698999,27.033001,26.652,26.868,26.868,39338000
95,2015-05-20,26.9245,27.146,26.6486,26.963499,26.963499,28616000
96,2015-05-21,26.897499,27.191999,26.799,27.1255,27.1255,29254000
97,2015-05-22,27.0075,27.209499,26.9755,27.005501,27.005501,23524000
98,2015-05-26,26.906,26.950001,26.493999,26.615999,26.615999,48130000
99,2015-05-27,26.639999,27.0275,26.585501,26.9895,26.9895,30500000
100,2015-05-28,26.900499,27.0305,26.8125,26.989,26.989,20596000
101,2015-05-29,26.8685,26.931499,26.5725,26.605499,26.605499,51948000
102,2015-06-01,26.8395,26.8395,26.488001,26.699499,26.699499,38086000
103,2015-06-02,26.6465,27.15,26.5665,26.959,26.959,38780000
104,2015-06-03,26.995501,27.174999,26.855499,27.015499,27.015499,34340000
105,2015-06-04,26.888,27.029499,26.716,26.834999,26.834999,26966000
106,2015-06-05,26.817499,26.860001,26.625999,26.6665,26.6665,27764000
107,2015-06-08,26.665501,26.705999,26.312,26.341499,26.341499,30412000
108,2015-06-09,26.378,26.459999,26.150499,26.334499,26.334499,29106000
109,2015-06-10,26.468,26.917999,26.467501,26.834499,26.834499,36300000
110,2015-06-11,26.921249,26.948999,26.650999,26.730499,26.730499,24350000
111,2015-06-12,26.58,26.656,26.507999,26.616501,26.616501,19116000
112,2015-06-15,26.4,26.415001,26.200001,26.360001,26.360001,32654000
113,2015-06-16,26.42,26.482,26.278,26.407499,26.407499,21436000
114,2015-06-17,26.4685,26.549,26.254999,26.462999,26.462999,25884000
115,2015-06-18,26.549999,26.907499,26.539499,26.8365,26.8365,36662000
116,2015-06-19,26.8605,26.9125,26.650499,26.834499,26.834499,37870000
117,2015-06-22,26.9795,27.187,26.876499,26.9095,26.9095,25006000
118,2015-06-23,26.982,27.074949,26.762501,27.024,27.024,23950000
119,2015-06-24,27.0,27.0,26.783001,26.892,26.892,25732000
120,2015-06-25,26.943501,27.045,26.761499,26.761499,26.761499,26714000
121,2015-06-26,26.863001,26.888,26.567499,26.584499,26.584499,42182000
122,2015-06-29,26.2505,26.4305,26.027,26.076,26.076,38756000
123,2015-06-30,26.301001,26.3125,26.025,26.025499,26.025499,44344000
124,2015-07-01,26.2365,26.2845,25.911501,26.091999,26.091999,39220000
125,2015-07-02,26.054001,26.2325,26.054001,26.17,26.17,24718000
126,2015-07-06,25.975,26.262501,25.950001,26.143,26.143,25610000
127,2015-07-07,26.1565,26.309,25.759001,26.250999,26.250999,31944000
128,2015-07-08,26.0525,26.1367,25.8055,25.841499,25.841499,25934000
129,2015-07-09,26.156,26.188499,26.0175,26.034,26.034,36846000
130,2015-07-10,26.314501,26.628,26.2775,26.5065,26.5065,39134000
131,2015-07-13,26.643999,27.355499,26.620001,27.327499,27.327499,44130000
132,2015-07-14,27.337999,28.29245,27.335501,28.055,28.055,64882000
133,2015-07-15,28.0065,28.32515,27.8395,28.011,28.011,35692000
134,2015-07-16,28.256001,29.034,28.25,28.9925,28.9925,95366000
135,2015-07-17,32.450001,33.7234,32.25,33.6465,33.6465,223298000
136,2015-07-20,32.962002,33.444,32.650501,33.151001,33.151001,117218000
137,2015-07-21,32.760502,33.650002,32.715,33.115002,33.115002,67544000
138,2015-07-22,33.044498,33.931999,32.950001,33.105,33.105,78586000
139,2015-07-23,33.063499,33.181499,32.049999,32.214001,32.214001,60582000
140,2015-07-24,32.349998,32.408501,31.125999,31.177999,31.177999,72514000
141,2015-07-27,31.049999,31.715,31.025,31.363001,31.363001,53508000
142,2015-07-28,31.6415,31.6415,31.165501,31.4,31.4,34546000
143,2015-07-29,31.440001,31.667999,31.1325,31.5965,31.5965,31502000
144,2015-07-30,31.5,31.761,31.102501,31.629499,31.629499,29484000
145,2015-07-31,31.569,31.6455,31.275,31.2805,31.2805,34122000
146,2015-08-03,31.267,31.6528,31.267,31.560499,31.560499,26090000
147,2015-08-04,31.421,31.740499,31.358,31.4625,31.4625,29818000
148,2015-08-05,31.716499,32.393002,31.658001,32.188999,32.188999,46686000
149,2015-08-06,32.25,32.268951,31.612499,32.133999,32.133999,31452000
150,2015-08-07,32.011501,32.133999,31.4855,31.764999,31.764999,28078000
151,2015-08-10,31.974001,32.172001,31.56245,31.686501,31.686501,36184000
152,2015-08-11,33.459999,33.744999,32.713501,33.039001,33.039001,100584000
153,2015-08-12,33.153999,33.25,32.614498,32.978001,32.978001,58734000
154,2015-08-13,32.966099,33.224998,32.58305,32.822498,32.822498,36214000
155,2015-08-14,32.7505,32.992748,32.632999,32.855999,32.855999,21442000
156,2015-08-17,32.84,33.069,32.562,33.043499,33.043499,21034000
157,2015-08-18,33.095001,33.200001,32.673,32.806499,32.806499,29122000
158,2015-08-19,32.830002,33.349998,32.709499,33.044998,33.044998,42682000
159,2015-08-20,32.772999,33.149502,32.145,32.341499,32.341499,57106000
160,2015-08-21,31.989,32.002499,30.616501,30.624001,30.624001,85304000
161,2015-08-24,28.65,29.966499,28.252501,29.480499,29.480499,115406000
162,2015-08-25,30.745501,30.872499,29.0555,29.103001,29.103001,70760000
163,2015-08-26,30.5175,31.585501,29.952499,31.431,31.431,84718000
164,2015-08-27,31.969999,32.179501,31.1,31.880501,31.880501,69826000
165,2015-08-28,31.641001,31.844,31.228001,31.518999,31.518999,39574000
166,2015-08-31,31.377001,31.790001,30.884001,30.9125,30.9125,43534000
167,2015-09-01,30.118,30.643,29.705,29.8895,29.8895,74042000
168,2015-09-02,30.279499,30.716999,29.9855,30.716999,30.716999,51512000
169,2015-09-03,30.85,30.9855,30.14105,30.3125,30.3125,35192000
170,2015-09-04,30.0,30.1735,29.762501,30.035,30.035,41780000
171,2015-09-08,30.6245,30.8155,30.205999,30.733,30.733,45590000
172,2015-09-09,31.061001,31.326,30.48,30.636,30.636,34042000
